fullName,country,politicalGroup,id,nationalPoliticalGroup,twitter
Dennis RADTKE,Germany,Group of the European People's Party (Christian Democrats),188945,Christlich Demokratische Union Deutschlands,radtkemdep
Paulo RANGEL,Portugal,Group of the European People's Party (Christian Democrats),96903,Partido Social Democrata,libertarofuturo
Laurenţiu REBEGA,Romania,European Conservatives and Reformists Group,124792,Independent,laurrebega
Julia REDA,Germany,Group of the Greens/European Free Alliance,124816,Piratenpartei Deutschland,Senficon
Viviane REDING,Luxembourg,Group of the European People's Party (Christian Democrats),1185,Parti chrétien social luxembourgeois,VivianeRedingEU
Evelyn REGNER,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96998,Sozialdemokratische Partei Österreichs,Evelyn_Regner
Julia REID,United Kingdom,Europe of Freedom and Direct Democracy Group,106202,United Kingdom Independence Party,julia_reid
Michel REIMON,Austria,Group of the Greens/European Free Alliance,124935,Die Grünen - Die Grüne Alternative,michelreimon
Terry REINTKE,Germany,Group of the Greens/European Free Alliance,103381,Bündnis 90/Die Grünen,TerryReintke
Christine REVAULT D'ALLONNES BONNEFOY,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124287,Parti socialiste,cdallonnes
Sofia RIBEIRO,Portugal,Group of the European People's Party (Christian Democrats),124733,Partido Social Democrata,sofiahribeiro
Frédérique RIES,Belgium,Group of the Alliance of Liberals and Democrats for Europe,4253,Mouvement Réformateur,Frederiqueries
Dominique RIQUET,France,Group of the Alliance of Liberals and Democrats for Europe,96885,Mouvement Radical Social-Libéral,DominiqueRiquet
Michèle RIVASI,France,Group of the Greens/European Free Alliance,96743,Europe Écologie,MicheleRivasi
Robert ROCHEFORT,France,Group of the Alliance of Liberals and Democrats for Europe,97022,Mouvement Démocrate,robertrochefort
Liliana RODRIGUES,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125099,Partido Socialista,lilianamep
Maria João RODRIGUES,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124737,Partido Socialista,mjrodrigueseu
