"","fullName","country","politicalGroup","id","nationalPoliticalGroup"
"327","Ska KELLER","Germany","Group of the Greens/European Free Alliance","96734","Bündnis 90/Die Grünen"
"328","Seán KELLY","Ireland","Group of the European People's Party (Christian Democrats)","96668","Fine Gael Party"
"329","Wajid KHAN","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","188624","Labour Party"
"330","Jude KIRTON-DARLING","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124953","Labour Party"
"331","Wolf KLINZ","Germany","Group of the Alliance of Liberals and Democrats for Europe","28244","Freie Demokratische Partei"
"332","Sławomir KŁOSOWSKI","Poland","European Conservatives and Reformists Group","135541","Prawo i Sprawiedliwość"
"333","Dieter-Lebrecht KOCH","Germany","Group of the European People's Party (Christian Democrats)","1852","Christlich Demokratische Union Deutschlands"
"334","Jeppe KOFOD","Denmark","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124870","Socialdemokratiet"
"335","Jaromír KOHLÍČEK","Czech Republic","Confederal Group of the European United Left - Nordic Green Left","28331","Komunistická strana Čech a Moravy"
"336","Arndt KOHN","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","186884","Sozialdemokratische Partei Deutschlands"
"337","Bernd KÖLMEL","Germany","European Conservatives and Reformists Group","124824","Liberal-Conservative Refomists"
"338","Kateřina KONEČNÁ","Czech Republic","Confederal Group of the European United Left - Nordic Green Left","23699","Komunistická strana Čech a Moravy"
"339","Ádám KÓSA","Hungary","Group of the European People's Party (Christian Democrats)","96829","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"340","Dietmar KÖSTER","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124822","Sozialdemokratische Partei Deutschlands"
"341","Stelios KOULOGLOU","Greece","Confederal Group of the European United Left - Nordic Green Left","130833","Coalition of the Radical Left"
"342","Peter KOUROUMBASHEV","Bulgaria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124857","-"
"343","Béla KOVÁCS","Hungary","Non-attached Members","102887","-"
"344","Andrey KOVATCHEV","Bulgaria","Group of the European People's Party (Christian Democrats)","97968","Citizens for European Development of Bulgaria"
"345","Agnieszka KOZŁOWSKA-RAJEWICZ","Poland","Group of the European People's Party (Christian Democrats)","124889","Platforma Obywatelska"
"346","Zdzisław KRASNODĘBSKI","Poland","European Conservatives and Reformists Group","124891","Bezpartyjny"
"347","Constanze KREHL","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","1854","Sozialdemokratische Partei Deutschlands"
"348","Urszula KRUPA","Poland","European Conservatives and Reformists Group","28334","Independent"
"349","Barbara KUDRYCKA","Poland","Group of the European People's Party (Christian Democrats)","28284","Platforma Obywatelska"
"350","Werner KUHN","Germany","Group of the European People's Party (Christian Democrats)","96767","Christlich Demokratische Union Deutschlands"
"351","Eduard KUKAN","Slovakia","Group of the European People's Party (Christian Democrats)","96651","Independent"
"352","Miapetra KUMPULA-NATRI","Finland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124735","Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti"
"353","Kostadinka KUNEVA","Greece","Confederal Group of the European United Left - Nordic Green Left","125092","Coalition of the Radical Left"
"354","Zbigniew KUŹMIUK","Poland","European Conservatives and Reformists Group","28389","Prawo i Sprawiedliwość"
"355","Cécile Kashetu KYENGE","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124801","Partito Democratico"
"356","Merja KYLLÖNEN","Finland","Confederal Group of the European United Left - Nordic Green Left","124736","Vasemmistoliitto"
"357","Miltiadis KYRKOS","Greece","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125113","The River"
"358","Georgios KYRTSOS","Greece","Group of the European People's Party (Christian Democrats)","125063","Nea Demokratia"
"359","Ilhan KYUCHYUK","Bulgaria","Group of the Alliance of Liberals and Democrats for Europe","124866","Movement for Rights and Freedoms"
"360","Patricia LALONDE","France","Group of the Alliance of Liberals and Democrats for Europe","188254","Union des Démocrates et Indépendants"
"361","Alain LAMASSOURE","France","Group of the European People's Party (Christian Democrats)","1204","Indépendant"
"362","Jean LAMBERT","United Kingdom","Group of the Greens/European Free Alliance","4531","Green Party"
"363","Philippe LAMBERTS","Belgium","Group of the Greens/European Free Alliance","96648","Ecologistes Confédérés pour l'Organisation de Luttes Originales"
"364","Danilo Oscar LANCINI","Italy","Europe of Nations and Freedom Group","192635","Lega Nord"
"365","Bernd LANGE","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","1909","Sozialdemokratische Partei Deutschlands"
"366","Esther de LANGE","Netherlands","Group of the European People's Party (Christian Democrats)","38398","Christen Democratisch Appèl"
"367","Werner LANGEN","Germany","Group of the European People's Party (Christian Democrats)","1928","Christlich Demokratische Union Deutschlands"
"368","Giovanni LA VIA","Italy","Group of the European People's Party (Christian Democrats)","96816","Alternativa Popolare"
"369","Jérôme LAVRILLEUX","France","Group of the European People's Party (Christian Democrats)","124731","-"
"370","Gilles LEBRETON","France","Europe of Nations and Freedom Group","124738","Rassemblement national"
"371","Christelle LECHEVALIER","France","Europe of Nations and Freedom Group","188718","Rassemblement national"
"372","Ryszard Antoni LEGUTKO","Poland","European Conservatives and Reformists Group","96796","Prawo i Sprawiedliwość"
"373","Patrick LE HYARIC","France","Confederal Group of the European United Left - Nordic Green Left","96735","Front de Gauche"
"374","Jo LEINEN","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","4262","Sozialdemokratische Partei Deutschlands"
"375","Jeroen LENAERS","Netherlands","Group of the European People's Party (Christian Democrats)","95074","Christen Democratisch Appèl"
"376","Jean-Marie LE PEN","France","Non-attached Members","1023","Front national"
"377","Janusz LEWANDOWSKI","Poland","Group of the European People's Party (Christian Democrats)","23781","Platforma Obywatelska"
"378","Bogusław LIBERADZKI","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","23768","Sojusz Lewicy Demokratycznej"
"379","Peter LIESE","Germany","Group of the European People's Party (Christian Democrats)","1927","Christlich Demokratische Union Deutschlands"
"380","Arne LIETZ","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124839","Sozialdemokratische Partei Deutschlands"
"381","Norbert LINS","Germany","Group of the European People's Party (Christian Democrats)","124808","Christlich Demokratische Union Deutschlands"
